赳,キュウ strong and brave
詢,はか∙る/ジュン consult with
鼻,はな/ビ nose
旅,たび/リョ trip
週,シュウ week
丞,すく∙う/ジョウ help
干,ほ∙す/カン dry
銑,セン pig iron
索,サク cord
任,まか∙せる/ニン responsibility
宿,やど/シュク inn
淳,あつ∙い/ジュン pure
別,わか∙れる/ベツ separate
汚,けが∙す/オ dirty
足,あし/ソク leg
斤,キン axe
玄,ゲン mysterious
亨,とお∙る/コウ pass through
又,また/ユウ or again
蛍,ほたる/ケイ lightning-bug
酒,さけ/シュ sake
員,イン employee
嫁,よめ/カ marry into
鯉,こい/リ carp
訣,わかれ/ケツ separation
埋,う∙める/マイ bury
嘆,なげ∙く/タン sigh
呈,テイ display
慎,つつし∙む/シン humility
鷹,たか/ヨウ hawk
慰,なぐさ∙める/イ consolation
鶏,にわとり/ケイ chicken
皐,さつき/コウ swamp
槍,やり/ソウ spear
晟,あきらか/セイ clear
鋒,きっさき/ホウ dagger
尾,お/ビ tail
煎,せん∙じる/セン broil
可,-べ∙き/カ can
活,い∙きる/カツ lively
富,と∙む/フ wealth
球,たま/キュウ ball
前,まえ/ゼン in front
難,かた∙い/ナン difficult
撫,な∙でる/ブ stroke
郭,くるわ/カク enclosure
礼,レイ salute
左,ひだり/サ left
恨,うら∙む/コン regret
継,つ∙ぐ/ケイ inherit
呂,せぼね/ロ spine
拝,おが∙む/ハイ worship
配,くば∙る/ハイ distribute
諸,もろ/ショ various
旨,むね/シ delicious
状,ジョウ status quo
過,す∙ぎる/カ overdo
羅,うすもの/ラ gauze
腐,くさ∙る/フ rot
汁,しる/ジュウ soup
吹,ふ∙く/スイ blow
産,う∙む/サン products
唇,くちびる/シン lips
雰,フン atmosphere
弛,たる∙む/チ slacken
舟,ふね/シュウ boat
美,うつく∙しい/ビ beauty
蛇,へび/ジャ snake
陪,バイ obeisance
傷,きず/ショウ wound
販,ハン marketing
撒,ま∙く/サン scatter
植,う∙える/ショク plant
裳,も/ショウ skirt
紘,おおづな/コウ large
鮮,あざ∙やか/セン fresh
穹,あめ/キュウ sky
症,ショウ symptoms
誘,さそ∙う/ユウ entice
積,つ∙む/セキ volume
娃,うつく∙しい/ア beautiful
失,うしな∙う/シツ lose
放,はな∙す/ホウ set free
署,ショ signature
合,あ∙う/ゴウ fit
垂,た∙れる/スイ droop
油,あぶら/ユ oil
資,シ assets
逃,に∙げる/トウ escape
怒,いか∙る/ド angry
煉,ね∙る/レン refine metals
蘭,ラン orchid
薩,サツ Buddha
第,ダイ No.
騎,キ equestrian
立,た∙つ/リツ stand up
滉,ひろ∙い/コウ deep and broad
絶,た∙える/ゼツ discontinue
短,みじか∙い/タン short
顕,あきらか/ケン appear
孤,コ orphan
惰,ダ lazy
漂,ただよ∙う/ヒョウ drift
閉,と∙じる/ヘイ closed
械,かせ/カイ contraption
穿,うが∙つ/セン put on (to the feet)
搬,ハン conveyor
十,とお/ジュウ ten
孝,コウ filial piety
便,たよ∙り/ベン convenience
囲,かこ∙む/イ surround
禍,わざわい/カ calamity
詳,くわ∙しい/ショウ detailed
訓,おし∙える/クン instruction
輯,あつ∙める/シュウ gather
混,ま∙じる/コン mix
基,もと/キ fundamentals
犬,いぬ/ケン dog
釉,うわぐすり/ユウ glaze
娯,ゴ recreation
在,あ∙る/ザイ exist
桔,キツ used in plant names
参,まい∙る/サン nonplussed
悟,さと∙る/ゴ enlightenment
箔,すだれ/ハク foil
憲,ケン constitution
缶,かま/カン tin can
窃,ぬす∙む/セツ stealth
鷺,さぎ/ロ heron
昔,むかし/セキ once upon a time
徽,しるし/キ good
封,フウ seal
郊,コウ outskirts
遥,はる∙か/ヨウ far off
事,こと/ジ matter
発,た∙つ/ハツ departure
凶,キョウ villain
謄,トウ mimeograph
迂,ウ roundabout way
蒲,がま/ホ bullrush
調,しら∙べる/チョウ tune
喧,やかま∙しい/ケン noisy
豊,ゆた∙か/ホウ bountiful
樟,くす/ショウ camphor
梓,あずさ/シ catalpa tree
現,あらわ∙れる/ゲン present
県,か∙ける/ケン prefecture
溢,こぼ∙れる/イツ overflow
闘,たたか∙う/トウ fight
痢,リ diarrhea
訂,テイ revise
籾,もみ unhulled rice
些,ち∙と/サ a little bit
薦,すす∙める/セン recommend
鞄,かばん/ハク suitcase
胎,タイ womb
汰,おご∙る/タ luxury
仏,ほとけ/ブツ Buddha
断,た∙つ/ダン severance
憩,いこ∙い/ケイ recess
澄,す∙む/チョウ lucidity
占,し∙める/セン fortune-telling
朗,ほが∙らか/ロウ melodious
登,のぼ∙る/トウ ascend
下,した/カ below
糧,かて/リョウ provisions
門,かど/モン gate
受,う∙ける/ジュ accept
灰,はい/カイ ashes
迪,みち/テキ edify
稽,かんが∙える/ケイ think
省,かえり∙みる/セイ focus
暫,しばら∙く/ザン temporarily
貝,かい/バイ shellfish
乙,おと-/オツ the latter
祖,ソ ancestor
差,さ∙す/サ distinction
才,サイ genius
知,し∙る/チ know
文,ふみ/ブン sentence
酷,ひど∙い/コク cruel
